PBT	Permian Basin Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"580.75M
"	0
PBTS	Powerbridge Technologies Co.	Software	"24.20M
"	0
PBYI	Puma Biotechnology	Biotechnology	"106.71M
"	0
PCAR	PACCAR	Machinery	"33.11B
"	0
PCB	PCB Bancorp	Banks	"339.68M
"	0
PCCT	Perception Capital II	Blank Check / SPAC	"248.50M
"	0
PCG	PG&E Corporation	Electric Utilities	"27.29B
"	0
PCH	PotlatchDeltic	Equity Real Estate Investment Trusts...	"3.60B
"	0
PCOM	Points.com	Internet & Direct Marketing Retail	"229.52M
"	0
PCOR	Procore Technologies	Software-Application	"8.71B
"	0
PCPC	Periphas Capital Partnering	Blank Check / SPAC	"434.79M
"	0
PCRX	Pacira Biosciences	Pharmaceuticals	"2.78B
"	0
PCSA	Processa Pharmaceuticals	Biotechnology	"59.25M
"	0
PCSB	PCSB Financial	Thrifts & Mortgage Finance	"290.50M
"	0
PCT	PureCycle Technologies	Pollution & Treatment Controls	"768.90M
"	0
PCTI	PCTEL	Communications Equipment	"95.94M
"	0
PCTY	Paylocity Holding	Software	"11.46B
"	0
PCVX	Vaxcyte	Biotechnology	"1.02B
"	0
PCX	Parsec Capital Acquisitions	Blank Check / SPAC	"93.28M
"	0
PCYG	Park City Group	Software	"146.27M
"	0
PD	PagerDuty	Software	"2.86B
"	0
PDCE	PDC Energy	"""Oil, Gas & Consumable Fuels"""	"6.09B
"	0
PDCO	Patterson Companies	Health Care Providers & Services	"2.77B
"	0
PDD	Pinduoduo	Internet & Direct Marketing Retail	"74.70B
"	0
PDEX	Pro-Dex	Health Care Equipment & Supplies	"91.58M
"	0
PDFS	PDF Solutions	Semiconductors & Semiconductor Equipment	"1.11B
"	0
PDLB	Ponce Financial Group	Thrifts & Mortgage Finance	"180.07M
"	0
PDM	Piedmont Office Realty Trust	Equity Real Estate Investment Trusts...	"2.24B
"	0
PDOT	Peridot Acquisition II	Blank Check / SPAC	"496.78M
"	0
PDS	Precision Drilling	Energy Equipment & Services	"607.88M
"	0
PDSB	PDS Biotechnology	Biotechnology	"173.47M
"	0
PEAK	Healthpeak Properties	Equity Real Estate Investment Trusts...	"18.80B
"	0
PEAR	Pear Therapeutics	Health Information Services	"620.10M
"	0
PEB	Pebblebrook Hotel Trust	Equity Real Estate Investment Trusts...	"2.88B
"	0
PEBK	Peoples Bancorp of North Carolina	Banks	"159.94M
"	0
PEBO	Peoples Bancorp	Banks	"934.36M
"	0
PECO	Phillips Edison & Company	REIT-Retail	"627.40M
"	0
PED	Pedevco	"""Oil, Gas & Consumable Fuels"""	"101.05M
"	0
PEGA	Pegasystems	Software	"8.28B
"	0
PEP	PepsiCo	Beverages	"238.29B
"	0
PEPL	PepperLime Health Acquisition	Blank Check / SPAC	"183.47M
"	0
PERI	Perion Network	Media	"944.43M
"	0
PESI	Perma-Fix Environmental Services	Commercial Services & Supplies	"77.31M
"	0
PETQ	PetIQ	Health Care Providers & Services	"592.03M
"	0
PETS	PetMed Express	Internet & Direct Marketing Retail	"527.70M
"	0
PETV	PetVivo Holdings	Health Care Equipment & Supplies	"13.27M
"	0
PETZ	TDH Holdings	Food Products	"51.94M
"	0
PFBC	Preferred Bank	Banks	"1.15B
"	0
PFC	Premier Financial	Thrifts & Mortgage Finance	"1.10B
"	0
PFDR	Pathfinder Acquisition	Blank Check / SPAC	"396.09M
"	0
PFG	Principal Financial Group	Insurance	"19.66B
"	0
PFGC	Performance Food Group Company	Food & Staples Retailing	"6.70B
"	0
PFHD	Professional Holding	Banks	"280.17M
"	0
PFIE	Profire Energy	Energy Equipment & Services	"57.73M
"	0
PFIN	P&F Industries	Household Durables	"19.79M
"	0
PFIS	Peoples Financial Services	Banks	"361.86M
"	0
PFMT	Performant Financial	Commercial Services & Supplies	"159.72M
"	0
PFS	Provident Financial Services	Thrifts & Mortgage Finance	"1.86B
"	0
PFSW	PFSweb	IT Services	"241.81M
"	0
PFTA	Portage Fintech Acquisition	Blank Check / SPAC	"279.85M
"	0
PFX	PhenixFIN	Capital Markets	"100.84M
"	0
PGC	Peapack-Gladstone Financial	Banks	"683.33M
"	0
PGEN	Precigen	Biotechnology	"537.52M
"	0
PGNY	Progyny	Health Care Providers & Services	"3.68B
"	0
PGRE	Paramount Group	Equity Real Estate Investment Trusts...	"1.97B
"	0
PGRW	Progress Acquisition	Blank Check / SPAC	"213.00M
"	0
PGSS	Pegasus Digital Mobility Acquisition	Blank Check / SPAC	"244.75M
"	0
PGTI	PGT Innovations	Building Products	"1.14B
"	0
PHAR	Pharming Group	Biotechnology	"577.72M
"	0
PHAS	PhaseBio Pharmaceuticals	Biotechnology	"96.18M
"	0
PHAT	Phathom Pharmaceuticals	Pharmaceuticals	"553.76M
"	0
PHG	Koninklijke Philips	Health Care Equipment & Supplies	"29.12B
"	0
PHGE	BiomX	Biotechnology	"49.73M
"	0
PHI	PLDT Inc.	Wireless Telecommunication Services	"7.82B
"	0
PHIC	Population Health Investment Co.	Blank Check / SPAC	"211.96M
"	0
PHIO	Phio Pharmaceuticals	Biotechnology	"11.70M
"	0
PHM	PulteGroup	Household Durables	"13.47B
"	0
PHR	Phreesia	Health Care Technology	"1.63B
"	0
PHUN	Phunware	Software-Application	"227.18M
"	0
PHVS	"""Pharvaris, N.V"""	Biotechnology	"563.19M
"	0
PHX	PHX Minerals	"""Oil, Gas & Consumable Fuels"""	"82.41M
"	0
PHYT	Pyrophyte Acquisition	Blank Check / SPAC	"217.66M
"	0
PI	Impinj	Semiconductors & Semiconductor Equipment	"2.01B
"	0
PICC	Pivotal Investment Corporation III	Blank Check / SPAC	"335.34M
"	0
PII	Polaris	Leisure Products	"6.98B
"	0
PIII	P3 Health Partners	Medical Care Facilities	"202.40M
"	0
PIK	Kidpik	Internet Retail	"43.12M
"	0
PINC	Premier	Health Care Providers & Services	"4.61B
"	0
PINE	Alpine Income Property Trust	Equity Real Estate Investment Trusts...	"222.45M
"	0
PIRS	Pieris Pharmaceuticals	Biotechnology	"263.03M
"	0
PIXY	ShiftPixy	Professional Services	"35.03M
"	0
PJT	PJT Partners	Capital Markets	"1.55B
"	0
PK	Park Hotels & Resorts	Equity Real Estate Investment Trusts...	"4.38B
"	0
PKBK	Parke Bancorp	Banks	"285.93M
"	0
PKE	Park Aerospace	Aerospace & Defense	"275.16M
"	0
PKG	Packaging Corporation of America	Containers & Packaging	"14.20B
"	0
PKI	PerkinElmer	Life Sciences Tools & Services	"21.99B
"	0
PKOH	Park-Ohio Holdings	Machinery	"241.42M
"	0
PKX	POSCO	Metals & Mining	"17.27B
"	0
PLAB	Photronics	Semiconductors & Semiconductor Equipment	"1.10B
"	0
PLAG	Planet Green Holdings	Food Products	"35.77M
"	0
PLBC	Plumas Bancorp	Banks	"219.01M
"	0
PLBY	PLBY Group	"""Textiles, Apparel & Luxury Goods"""	"701.39M
"	0
PLCE	The Children's Place	Specialty Retail	"1.05B
"	0
PLD	Prologis	Equity Real Estate Investment Trusts...	"113.50B
"	0
PLG	Platinum Group Metals	Metals & Mining	"129.70M
"	0
PLIN	China Xiangtai Food Co.	Food Products	"70.19M
"	0
PLL	Piedmont Lithium	Metals & Mining	"776.17M
"	0
PLM	PolyMet Mining	Metals & Mining	"267.32M
"	0
PLMI	Plum Acquisition I	Blank Check / SPAC	"386.65M
"	0
PLMR	Palomar Holdings	Insurance	"1.36B
"	0
PLNT	Planet Fitness	"""Hotels, Restaurants & Leisure"""	"7.44B
"	0
PLOW	Douglas Dynamics	Machinery	"846.62M
"	0
PLPC	Preformed Line Products Company	Electrical Equipment	"289.83M
"	0
PLRX	Pliant Therapeutics	Biotechnology	"438.96M
"	0
PLTK	Playtika Holding	Electronic Gaming & Multimedia	"7.09B
"	0
PLUS	ePlus	"""Electronic Equipment, Instruments & C..."""	"1.25B
"	0
PLX	Protalix BioTherapeutics	Biotechnology	"39.58M
"	0
PLXP	PLx Pharma	Pharmaceuticals	"176.24M
"	0
PLXS	Plexus	"""Electronic Equipment, Instruments & C..."""	"2.19B
"	0
PLYM	Plymouth Industrial REIT	Equity Real Estate Investment Trusts...	"987.99M
"	0
PMCB	PharmaCyte Biotech	Biotechnology	"47.02M
"	0
PMD	Psychemedics	Health Care Providers & Services	"39.65M
"	0
PME	Pingtan Marine Enterprise	Food Products	"53.31M
"	0
PMGM	Priveterra Acquisition	Blank Check / SPAC	"334.65M
"	0
PMT	PennyMac Mortgage Investment Trust	Mortgage Real Estate Investment Trus...	"1.71B
"	0
PMVC	PMV Consumer Acquisition	Blank Check / SPAC	"215.25M
"	0
PMVP	PMV Pharmaceuticals	Biotechnology	"724.72M
"	0
PNBK	Patriot National Bancorp	Banks	"58.45M
"	0
PNC	The PNC Financial Services Group	Banks	"88.09B
"	0
PNFP	Pinnacle Financial Partners	Banks	"7.42B
"	0
PNM	PNM Resources	Electric Utilities	"3.82B
"	0
PNNT	PennantPark Investment	Capital Markets	"471.33M
"	0
PNR	Pentair	Machinery	"10.50B
"	0
PNRG	PrimeEnergy Resources	"""Oil, Gas & Consumable Fuels"""	"154.55M
"	0
PNT	POINT Biopharma Global	Biotechnology	"590.30M
"	0
PNTG	The Pennant Group	Health Care Providers & Services	"468.45M
"	0
PNTM	Pontem	Blank Check / SPAC	"842.66M
"	0
PNW	Pinnacle West Capital	Electric Utilities	"7.81B
"	0
POAI	Predictive Oncology	Health Care Equipment & Supplies	"57.04M
"	0
PODD	Insulet	Health Care Equipment & Supplies	"17.11B
"	0
POLY	Plantronics	Communications Equipment	"1.15B
"	0
POND	Angel Pond Holdings	Blank Check / SPAC	"326.92M
"	0
PONO	Pono Capital	Blank Check / SPAC	"143.61M
"	0
POOL	Pool Corporation	Distributors	"18.99B
"	0
PORT	Southport Acquisition	Blank Check / SPAC	"250.88M
"	0
POSH	Poshmark	Internet & Direct Marketing Retail	"1.27B
"	0
POWI	Power Integrations	Semiconductors & Semiconductor Equipment	"4.82B
"	0
POWW	AMMO Inc.	Leisure Products	"535.28M
"	0
PPBI	Pacific Premier Bancorp	Banks	"3.67B
"	0
PPBT	Purple Biotech	Biotechnology	"45.95M
"	0
PPG	PPG Industries	Chemicals	"37.36B
"	0
PPGH	Poema Global Holdings	Blank Check / SPAC	"428.23M
"	0
PPHP	PHP Ventures Acquisition	Blank Check / SPAC	"74.36M
"	0
PPIH	Perma-Pipe International Holdings	Machinery	"72.04M
"	0
PPL	PPL Corporation	Electric Utilities	"22.16B
"	0
PPSI	Pioneer Power Solutions	Electrical Equipment	"60.83M
"	0
PPTA	Perpetua Resources	Other Precious Metals & Mining	"226.59M
"	0
PPYA	Papaya Growth Opportunity I	Blank Check / SPAC	"328.63M
"	0
PRA	ProAssurance	Insurance	"1.29B
"	0
PRAA	PRA Group	Consumer Finance	"2.04B
"	0
PRAX	Praxis Precision Medicines	Biotechnology	"654.00M
"	0
PRBM	Parabellum Acquisition	Blank Check / SPAC	"152.50M
"	0
PRCH	Porch Group	Software-Application	"1.04B
"	0
PRCT	PROCEPT BioRobotics	Medical Devices	"824.70M
"	0
PRDO	Perdoceo Education	Diversified Consumer Services	"778.87M
"	0
PRDS	Pardes Biosciences	Shell Companies	"706.13M
"	0
PRFT	Perficient	IT Services	"3.49B
"	0
PRFX	PainReform	Drug Manufacturers-Specialty & Generic	"12.42M
"	0
PRG	PROG Holdings	Rental & Leasing Services	"2.30B
"	0
PRGO	Perrigo Company	Pharmaceuticals	"5.10B
"	0
PRGS	Progress Software	Software	"2.05B
"	0
PRI	Primerica	Insurance	"6.10B
"	0
PRIM	Primoris Services	Construction & Engineering	"1.42B
"	0
PRK	Park National	Banks	"2.19B
"	0
PRLB	Proto Labs	Machinery	"1.39B
"	0
PRLD	Prelude Therapeutics	Biotechnology	"483.01M
"	0
PRLH	Pearl Holdings Acquisition	Blank Check / SPAC	"217.66M
"	0
PRM	Perimeter Solutions	Specialty Chemicals	"0.00
"	0
PRO	PROS Holdings	Software	"1.25B
"	0
PROC	Procaps Group	Drug Manufacturers-Specialty & Generic	"1.05B
"	0
PROV	Provident Financial Holdings	Thrifts & Mortgage Finance	"124.22M
"	0
PRPB	CC Neuberger Principal Holdings II	Shell Companies	"1.08B
"	0
PRPC	CC Neuberger Principal Holdings III	Blank Check / SPAC	"539.30M
"	0
PRPH	ProPhase Labs	Pharmaceuticals	"112.12M
"	0
PRPL	Purple Innovation	Household Durables	"565.08M
"	0
PRPO	Precipio	Health Care Providers & Services	"29.29M
"	0
PRQR	ProQR Therapeutics	Biotechnology	"429.74M
"	0
PRSO	Peraso	Semiconductors & Semiconductor Equipment	"55.11M
"	0
PRSR	Prospector Capital	Blank Check / SPAC	"397.31M
"	0
PRT	PermRock Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"104.26M
"	0
PRTA	Prothena	Biotechnology	"1.61B
"	0
PRTC	PureTech Health	Biotechnology	"1.06B
"	0
PRTG	Portage Biotech	Biotechnology	"117.96M
"	0
PRTH	Priority Technology Holdings	IT Services	"455.21M
"	0
PRTK	Paratek Pharmaceuticals	Pharmaceuticals	"216.31M
"	0
PRTS	CarParts.com	Internet & Direct Marketing Retail	"470.96M
"	0
PRU	Prudential Financial	Insurance	"42.97B
"	0
PRVA	Privia Health Group	Health Information Services	"2.29B
"	0
PRVB	Provention Bio	Pharmaceuticals	"335.89M
"	0
PSAG	Property Solutions Acquisition II	Blank Check / SPAC	"391.33M
"	0
PSEC	Prospect Capital	Capital Markets	"3.31B
"	0
PSHG	Performance Shipping	Marine Shipping	"15.25M
"	0
PSMT	PriceSmart	Food & Staples Retailing	"2.19B
"	0
PSN	Parsons	Aerospace & Defense	"3.17B
"	0
PSNL	Personalis	Life Sciences Tools & Services	"526.21M
"	0
PSO	Pearson	Media	"6.48B
"	0
PSPC	Post Holdings Partnering	Blank Check / SPAC	"426.23M
"	0
PSTG	Pure Storage	"""Technology Hardware, Storage & Periph..."""	"7.70B
"	0
PSTI	Pluristem Therapeutics	Biotechnology	"56.17M
"	0
PSTL	Postal Realty Trust	Equity Real Estate Investment Trusts...	"335.48M
"	0
PSTV	Plus Therapeutics	Biotechnology	"21.18M
"	0
PSTX	Poseida Therapeutics	Biotechnology	"296.90M
"	0
PSXP	Phillips 66 Partners LP	"""Oil, Gas & Consumable Fuels"""	"9.89B
"	0
PTC	PTC Inc.	Software	"13.69B
"	0
PTCT	PTC Therapeutics	Biotechnology	"2.87B
"	0
PTE	PolarityTE	Biotechnology	"43.40M
"	0
PTEN	Patterson-UTI Energy	Energy Equipment & Services	"2.28B
"	0
PTGX	Protagonist Therapeutics	Biotechnology	"1.44B
"	0
PTIC	Proptech Investment Corporation II	Blank Check / SPAC	"280.60M
"	0
PTIX	Protagenic Therapeutics	Biotechnology	"20.69M
"	0
PTLO	Portillo's	Restaurants	"2.10B
"	0
PTMN	Portman Ridge Finance	Capital Markets	"243.46M
"	0
PTN	Palatin Technologies	Biotechnology	"101.33M
"	0
PTNR	Partner Communications Company	Wireless Telecommunication Services	"1.68B
"	0
PTOC	Pine Technology Acquisition	Blank Check / SPAC	"426.94M
"	0
PTPI	Petros Pharmaceuticals	Drug Manufacturers-Specialty & Generic	"37.23M
"	0
PTR	PetroChina Company	"""Oil, Gas & Consumable Fuels"""	"140.54B
"	0
PTRS	Partners Bancorp	Banks	"180.84M
"	0
PTSI	P.A.M. Transportation Services	Road & Rail	"800.51M
"	0
PTVE	Pactiv Evergreen	Containers & Packaging	"1.96B
"	0
PUBM	PubMatic	Internet & Direct Marketing Retail	"1.37B
"	0
PUK	Prudential	Insurance	"46.74B
"	0
PULM	Pulmatrix	Pharmaceuticals	"22.95M
"	0
PUYI	Puyi Inc.	Capital Markets	"401.09M
"	0
PV	Primavera Capital Acquisition	Blank Check / SPAC	"524.06M
"	0
PVBC	Provident Bancorp	Thrifts & Mortgage Finance	"321.94M
"	0
PVG	Pretium Resources	Metals & Mining	"2.58B
"	0
PVH	PVH Corp.	"""Textiles, Apparel & Luxury Goods"""	"6.79B
"	0
PVL	Permianville Royalty Trust	"""Oil, Gas & Consumable Fuels"""	"73.43M
"	0
PW	Power REIT	Equity Real Estate Investment Trusts...	"217.55M
"	0
PWFL	PowerFleet	"""Electronic Equipment, Instruments & C..."""	"134.11M
"	0
PWP	Perella Weinberg Partners	Capital Markets	"509.05M
"	0
PWR	Quanta Services	Construction & Engineering	"14.69B
"	0
PWSC	PowerSchool Holdings	Software-Application	"3.34B
"	0
PX	"""P10, Inc."""	Capital Markets	"1.47B
"	0
PXD	Pioneer Natural Resources Company	"""Oil, Gas & Consumable Fuels"""	"54.74B
"	0
PXLW	Pixelworks	Semiconductors & Semiconductor Equipment	"183.10M
"	0
PXS	Pyxis Tankers	Marine	"21.19M
"	0
PYCR	Paycor HCM	Software-Application	"4.49B
"	0
PYPD	PolyPid	Biotechnology	"83.94M
"	0
PYR	Pyrogenesis Canada	Specialty Industrial Machinery	"473.11M
"	0
PYXS	Pyxis Oncology	Biotechnology	"312.24M
"	0
PZG	Paramount Gold Nevada	Metals & Mining	"27.64M
"	0
PZN	Pzena Investment Management	Capital Markets	"769.35M
"	0
QCRH	QCR Holdings	Banks	"886.07M
"	0
QD	Qudian	Consumer Finance	"239.70M
"	0
QDEL	Quidel	Health Care Equipment & Supplies	"4.27B
"	0
QFIN	360 DigiTech	Consumer Finance	"3.14B
"	0
QFTA	Quantum FinTech Acquisition	Blank Check / SPAC	"248.54M
"	0
QGEN	Qiagen	Life Sciences Tools & Services	"11.35B
"	0
QH	Quhuo	Software-Application	"37.22M
"	0
QIPT	Quipt Home Medical	Medical Devices	"178.76M
"	0
QIWI	Qiwi PLC	IT Services	"472.23M
"	0
QK	Q&K International Group	Real Estate Management & Development	"29.26M
"	0
QLGN	Qualigen Therapeutics	Biotechnology	"30.71M
"	0
QLI	Qilian International Holding Group	Drug Manufacturers-Specialty & Generic	"75.08M
"	0
QLYS	Qualys	Software	"4.99B
"	0
QMCO	Quantum	"""Technology Hardware, Storage & Periph..."""	"304.23M
"	0
QNRX	Quoin Pharmaceuticals	Biotechnology	"12.94M
"	0
QNST	QuinStreet	Interactive Media & Services	"862.45M
"	0
QRHC	Quest Resource Holding	Commercial Services & Supplies	"123.83M
"	0
QRTEA	Qurate Retail	Internet & Direct Marketing Retail	"2.84B
"	0
QRTEB	Qurate Retail	Internet & Direct Marketing Retail	"2.90B
"	0
QRVO	Qorvo	Semiconductors & Semiconductor Equipment	"15.32B
"	0
QS	QuantumScape	Auto Components	"7.41B
"	0
QSI	Quantum-Si	Biotechnology	"662.35M
"	0
QSR	Restaurant Brands International	"""Hotels, Restaurants & Leisure"""	"17.80B
"	0
QTNT	Quotient	Health Care Equipment & Supplies	"159.58M
"	0
QTRX	Quanterix	Life Sciences Tools & Services	"1.18B
"	0
QTT	Qutoutiao	Interactive Media & Services	"73.31M
"	0
QUAD	Quad/Graphics	Commercial Services & Supplies	"238.67M
"	0
QUBT	Quantum Computing	Computer Hardware	"81.93M
"	0
QUIK	QuickLogic	Semiconductors & Semiconductor Equipment	"57.68M
"	0
QUMU	Qumu Corporation	Software	"35.03M
"	0
QUOT	Quotient Technology	Internet & Direct Marketing Retail	"664.73M
"	0
QURE	uniQure	Biotechnology	"845.26M
"	0
RAAS	Cloopen Group Holding	Software-Application	"350.11M
"	0
RACB	Research Alliance II	Blank Check / SPAC	"187.64M
"	0
RADA	RADA Electronic Industries	Aerospace & Defense	"475.88M
"	0
RADI	Radius Global Infrastructure	Telecom Services	"1.26B
"	0
RAIL	FreightCar America	Machinery	"58.21M
"	0
RAND	Rand Capital	Capital Markets	"40.63M
"	0
RANI	Rani Therapeutics Holdings	Biotechnology	"399.76M
"	0
RAPT	Rapt Therapeutics	Biotechnology	"653.86M
"	0
RAVE	Rave Restaurant Group	"""Hotels, Restaurants & Leisure"""	"17.25M
"	0
RBAC	RedBall Acquisition	Blank Check / SPAC	"713.00M
"	0
RBB	RBB Bancorp	Banks	"518.88M
"	0
RBBN	Ribbon Communications	Communications Equipment	"655.44M
"	0
RBCAA	Republic Bancorp	Banks	"992.01M
"	0
RBCN	Rubicon Technology	Semiconductors & Semiconductor Equipment	"21.86M
"	0
RBKB	Rhinebeck Bancorp	Thrifts & Mortgage Finance	"122.56M
"	0
RBOT	Vicarious Surgical	Medical Devices	"746.14M
"	0
RCAC	Revelstone Capital Acquisition	Blank Check / SPAC	"185.81M
"	0
RCEL	AVITA Medical	Biotechnology	"245.26M
"	0
RCFA	RCF Acquisition	Blank Check / SPAC	"284.62M
"	0
RCHG	Recharge Acquisition	Blank Check / SPAC	"248.50M
"	0
RCI	Rogers Communications	Wireless Telecommunication Services	"25.69B
"	0
RCII	Rent-A-Center	Specialty Retail	"2.84B
"	0
RCKT	Rocket Pharmaceuticals	Biotechnology	"1.15B
"	0
RCKY	Rocky Brands	"""Textiles, Apparel & Luxury Goods"""	"310.40M
"	0
RCLF	Rosecliff Acquisition I	Blank Check / SPAC	"311.03M
"	0
RCM	R1 RCM	Health Care Providers & Services	"6.54B
"	0
RCMT	RCM Technologies	Professional Services	"73.28M
"	0
RCON	Recon Technology	Energy Equipment & Services	"29.97M
"	0
RCOR	Renovacor	Biotechnology	"68.56M
"	0
RCRT	Recruiter.com Group	Staffing & Employment Services	"30.86M
"	0
RCUS	Arcus Biosciences	Biotechnology	"2.21B
"	0
RDCM	RADCOM	Communications Equipment	"162.72M
"	0
RDFN	Redfin	Real Estate Management & Development	"3.25B
"	0
RDHL	RedHill Biopharma	Pharmaceuticals	"139.39M
"	0
RDI	Reading International	Entertainment	"124.62M
"	0
RDIB	Reading International	Entertainment	"124.38M
"	0
RDN	Radian Group	Thrifts & Mortgage Finance	"4.02B
"	0
RDNT	RadNet	Health Care Providers & Services	"1.45B
"	0
RDUS	Radius Health	Biotechnology	"359.80M
"	0
RDVT	Red Violet	Professional Services	"368.74M
"	0
RDW	Redwire	Aerospace & Defense	"328.73M
"	0
RDWR	Radware	Communications Equipment	"1.59B
"	0
RE	Everest Re Group	Insurance	"11.20B
"	0
REE	REE Automotive	Recreational Vehicles	"965.69M
"	0
REED	Reed's	Beverages	"31.16M
"	0
REFI	Chicago Atlantic Real Estate Finance	REIT-Mortgage	"329.96M
"	0
REFR	Research Frontiers	"""Electronic Equipment, Instruments & C..."""	"47.79M
"	0
REG	Regency Centers	Equity Real Estate Investment Trusts...	"12.27B
"	0
REGI	Renewable Energy Group	"""Oil, Gas & Consumable Fuels"""	"2.06B
"	0
REGN	Regeneron Pharmaceuticals	Biotechnology	"65.96B
"	0
REKR	Rekor Systems	Professional Services	"215.49M
"	0
RELI	Reliance Global Group	Insurance Brokers	"55.88M
"	0
RELL	Richardson Electronics	"""Electronic Equipment, Instruments & C..."""	"168.34M
"	0
RELX	Relx PLC	Professional Services	"59.73B
"	0
RELY	Remitly Global	Software-Infrastructure	"2.09B
"	0
RENN	Renren	Specialty Retail	"531.31M
"	0
RENO	Renovare Environmental	Pollution & Treatment Controls	"15.66M
"	0
RENT	Rent The Runway	Apparel Retail	"373.17M
"	0
REPH	Recro Pharma	Pharmaceuticals	"72.83M
"	0
REPL	Replimune Group	Biotechnology	"908.33M
"	0
REPX	Riley Exploration Permian	"""Oil, Gas & Consumable Fuels"""	"497.87M
"	0
RERE	AiHuiShou International Co.	Internet Retail	"1.40B
"	0
RES	"""RPC, Inc."""	Energy Equipment & Services	"1.37B
"	0
RESN	Resonant	Communications Equipment	"95.94M
"	0
RETA	Reata Pharmaceuticals	Pharmaceuticals	"1.07B
"	0
RETO	ReTo Eco-Solutions	Construction Materials	"30.06M
"	0
REV	Revlon	Personal Products	"537.67M
"	0
REVB	Revelation Biosciences	Biotechnology	"0.00
"	0
REVE	Alpine Acquisition	Blank Check / SPAC	"127.13M
"	0
REVG	REV Group	Machinery	"879.12M
"	0
REVH	Revolution Healthcare Acquisition	Blank Check / SPAC	"561.33M
"	0
REX	REX American Resources	"""Oil, Gas & Consumable Fuels"""	"603.17M
"	0
REXR	Rexford Industrial Realty	Equity Real Estate Investment Trusts...	"10.96B
"	0
REYN	Reynolds Consumer Products	Packaging & Containers	"6.31B
"	0
REZI	Resideo Technologies	Building Products	"3.63B
"	0
RF	Regions Financial	Banks	"22.23B
"	0
RFIL	RF Industries	"""Electronic Equipment, Instruments & C..."""	"74.13M
"	0
RFL	Rafael Holdings	Real Estate Management & Development	"85.91M
"	0
RFP	Resolute Forest Products	Paper & Forest Products	"1.10B
"	0
RGA	Reinsurance Group of America	Insurance	"7.76B
"	0
RGC	Regencell Bioscience Holdings	Drug Manufacturers-Specialty & Generic	"452.68M
"	0
RGCO	RGC Resources	Gas Utilities	"190.79M
"	0
RGEN	Repligen	Life Sciences Tools & Services	"11.22B
"	0
RGF	Real Good Food Company	Packaged Foods	"151.11M
"	0
RGLD	Royal Gold	Metals & Mining	"6.75B
"	0
RGLS	Regulus Therapeutics	Biotechnology	"35.27M
"	0
RGNX	REGENXBIO	Biotechnology	"1.15B
"	0
RGP	Resources Connection	"""Oil, Gas & Consumable Fuels"""	"570.53M
"	0
RGS	Regis	Diversified Consumer Services	"68.96M
"	0
RH	RH	Specialty Retail	"8.85B
"	0
RHP	Ryman Hospitality Properties	Equity Real Estate Investment Trusts...	"4.82B
"	0
RIBT	RiceBran Technologies	Food Products	"16.31M
"	0
RICK	RCI Hospitality Holdings	"""Hotels, Restaurants & Leisure"""	"686.27M
"	0
RICO	Agrico Acquisition	Blank Check / SPAC	"182.76M
"	0
RIG	Transocean	Energy Equipment & Services	"2.31B
"	0
RIGL	Rigel Pharmaceuticals	Biotechnology	"442.91M
"	0
RILY	B. Riley Financial	Capital Markets	"1.75B
"	0
RIO	Rio Tinto	Metals & Mining	"120.16B
"	0
RJAC	Jackson Acquisition Company	Blank Check / SPAC	"249.75M
"	0
RJF	Raymond James Financial	Capital Markets	"22.64B
"	0
RKLB	Rocket Lab USA	Aerospace & Defense	"4.28B
"	0
RKLY	Rockley Photonics Holdings	Semiconductors	"441.69M
"	0
RKTA	Rocket Internet Growth Opportunities	Blank Check / SPAC	"324.07M
"	0
RLAY	Relay Therapeutics	Biotechnology	"2.49B
"	0
RLGT	Radiant Logistics	Air Freight & Logistics	"314.76M
"	0
RLGY	Realogy Holdings	Real Estate Management & Development	"1.91B
"	0
RLI	RLI Corp.	Insurance	"4.75B
"	0
RLJ	RLJ Lodging Trust	Equity Real Estate Investment Trusts...	"2.35B
"	0
RLMD	Relmada Therapeutics	Pharmaceuticals	"507.11M
"	0
RLX	RLX Technology	Tobacco	"5.39B
"	0
RLYB	Rallybio	Biotechnology	"446.61M
"	0
RM	Regional Management	Consumer Finance	"509.07M
"	0
RMAX	RE/MAX Holdings	Real Estate Management & Development	"563.92M
"	0
RMBL	RumbleOn	Internet & Direct Marketing Retail	"539.19M
"	0
RMBS	Rambus	Semiconductors & Semiconductor Equipment	"2.80B
"	0
RMCF	Rocky Mountain Chocolate Factory	Food Products	"50.30M
"	0
RMD	ResMed	Health Care Equipment & Supplies	"33.95B
"	0
RMED	Ra Medical Systems	Health Care Equipment & Supplies	"6.47M
"	0
RMGC	RMG Acquisition III	Blank Check / SPAC	"589.86M
"	0
RMNI	Rimini Street	Software	"452.07M
"	0
RMR	The RMR Group	Real Estate Management & Development	"525.05M
"	0
RMTI	Rockwell Medical	Health Care Equipment & Supplies	"38.72M
"	0
RNA	Avidity Biosciences	Biotechnology	"791.15M
"	0
RNAZ	TransCode Therapeutics	Biotechnology	"30.45M
"	0
RNDB	Randolph Bancorp	Thrifts & Mortgage Finance	"127.72M
"	0
RNGR	Ranger Energy Services	Energy Equipment & Services	"256.96M
"	0
RNLX	Renalytix	Health Care Technology	"484.11M
"	0
RNR	RenaissanceRe Holdings	Insurance	"7.02B
"	0
